"id","contentId","text","cluster","segmentLength"
96,"96 2","place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm",1,71
82,"82 2","the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting",2,87
78,"78 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up",3,36
75,"75 1","of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were",4,35
70,"70 1","softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it",5,35
63,"63 4","out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every",6,39
63,"63 2","colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico",7,29
61,"61 4","some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this letter to the district the san antonio school for inquiry and creativity as soon as she got this letter the superintendent stepped down the texas education agency has been investigating the district since complaints surfaced in february and just learned tea found",8,241
62,"62 4","may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close",8,242
96,"96 3","issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this letter to",8,242
61,"61 3","haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this",9,39
62,"62 3","truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got",10,168
63,"63 5","issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping",10,235
83,"83 2","and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the",10,271
93,"93 2","joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need",10,180
98,"98 2","tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells",10,150
59,"59 1","is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to",11,47
47,"47 2","night her sons mile trip to san antonio texas took deadly turn as close as people being smuggled in this trailer were exposed to high temperatures and no air for hours leaving ten dead and others",12,35
46,"46 5","this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin",13,32
76,"76 2","homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox",14,128
85,"85 2","up from his coma his uncle is now out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it",15,212
46,"46 4","mother was granted humanitarian visa and is on her way to san antonio her son earlier today woke up from his coma his uncle is now out of the hospital and in custody",16,32
45,"45 2","more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video",17,127
33,"33 2","home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare",18,47
40,"40 1","the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government",18,61
60,"60 1","his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited",18,51
61,"61 1","there are more patients at other hospitals we are now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government to see if her humanitarian visa would be approved or",19,139
64,"64 1","mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they",19,76
82,"82 1","now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer",19,83
